,,１２半形字元換行,,,１４半形字元換行,１５全形字元換行,,,,
,,number,category,brand,model,item,price,retail price,price 6,link
飛 碟-FT-1030-U-電騎士系列 機架式 UPS 3kVA,,9BUPSFT1030U,＊ Ｕ Ｐ Ｓ,飛 碟,FT-1030-U,電騎士系列 機架式 UPS 3kVA,20000,31000,17000,
飛 碟-FT-130H-U-電騎士系列 機架式 UPS 3kVA（110V）,,9BUPSFT130HU,＊ Ｕ Ｐ Ｓ,飛 碟,FT-130H-U,電騎士系列 機架式 UPS 3kVA（110V）,22000,35000,18700,
飛 碟-FT-630H-U-電武士系列 機架式 UPS 3kVA（內建電池）,,9BUPSFT630HU,＊ Ｕ Ｐ Ｓ,飛 碟,FT-630H-U,電武士系列 機架式 UPS 3kVA（內建電池）,25000,38400,21058,
飛 碟-FT-630H-U-L-電武士系列 機架式 UPS 3kVA（不含電池DC24V）,,9BUPSFT630HUL,＊ Ｕ Ｐ Ｓ,飛 碟,FT-630H-U-L,電武士系列 機架式 UPS 3kVA（不含電池DC24V）,26500,32000,23690,https://drive.google.com/file/d/12tHMzWJBCY-adUnVQpuCN4coselZb0CY/view
飛 碟-FT-620H-U-L-電武士系列 機架式 UPS 2kVA（不含電池DC24V）,,9BUPSFT620HUL,＊ Ｕ Ｐ Ｓ,飛 碟,FT-620H-U-L,電武士系列 機架式 UPS 2kVA（不含電池DC24V）,19500,32400,17216,
飛 碟-FT-610H-U-L-電武士系列 機架式 UPS 1kVA（不含電池DC24V）,,9BUPSFT610HUL,＊ Ｕ Ｐ Ｓ,飛 碟,FT-610H-U-L,電武士系列 機架式 UPS 1kVA（不含電池DC24V）,13000,15000,11495,
飛 碟-FT-630H-電武士系列 直立式 UPS 3kVA（內建電池）,,9BUPSFT630H,＊ Ｕ Ｐ Ｓ,飛 碟,FT-630H,電武士系列 直立式 UPS 3kVA（內建電池）,19500,31800,16737,
飛 碟-FT-610H-電武士系列 直立式 UPS 1kVA（內建電池）,,9BUPSFT610H,＊ Ｕ Ｐ Ｓ,飛 碟,FT-610H,電武士系列 直立式 UPS 1kVA（內建電池）,9000,12600,6910,
飛 碟-FT-620H-L-電武士系列 直立式 UPS 2kVA（不含電池DC24V）,,9BUPSFT620HL,＊ Ｕ Ｐ Ｓ,飛 碟,FT-620H-L,電武士系列 直立式 UPS 2kVA（不含電池DC24V）,15900,25000,14282,
飛 碟-FT-610H-L-電武士系列 直立式 UPS 1kVA（不含電池DC24V）,,9BUPSFT610HL,＊ Ｕ Ｐ Ｓ,飛 碟,FT-610H-L,電武士系列 直立式 UPS 1kVA（不含電池DC24V）,12500,21000,11159,
飛 碟-FT-640H-L-電管家系列 直立式 UPS 4kVA（不含電池DC36V）,,9BUPSFT640HL,＊ Ｕ Ｐ Ｓ,飛 碟,FT-640H-L,電管家系列 直立式 UPS 4kVA（不含電池DC36V）,35000,48700,26705,
